sample	coverage_tag	n_sites_total	n_candidate	n_true	n_unknown	gt_anchor_hit	notes
rice_G281	5x	9	0	0	1	MISS	
rice_G281	10x	12	1	0	3	HIT:CANDIDATE	
rice_G281	15x	15	1	0	5	HIT:FALSE_POSITIVE	
rice_G281	20x	24	3	0	11	HIT:CANDIDATE	
tomato_Cas9_A2_3	5x	1	1	0	0	HIT:CANDIDATE	
tomato_Cas9_A2_3	10x	0	0	0	0	MISS	pipeline complete, 0 insertion reports
tomato_Cas9_A2_3	15x	1	1	0	0	HIT:CANDIDATE	
tomato_Cas9_A2_3	20x	2	2	0	0	HIT:CANDIDATE	
cucumber_line225	5x	4	2	0	2	MISS	
cucumber_line225	10x	9	3	0	4	MISS	
cucumber_line225	15x	26	6	0	17	HIT:CANDIDATE	
cucumber_line225	20x	38	7	0	28	HIT:CANDIDATE	
