method_code	target_scope	target_name	amplicon_size	actual_length	source	status	accession
QL-BAC-16S-FW/16S-Rev	taxon-specific	bacteria	1041	0		SKIPPED	EUginius
QL-BAC-27f/926R	taxon-specific	bacteria	899	0		SKIPPED	EUginius
QL-CON-00-001	construct-specific	GTS 40-3-2	172	0		SKIPPED	EUginius
QL-CON-00-002	construct-specific	Nema282F	350	0		SKIPPED	EUginius
QL-CON-00-003	construct-specific	Bt10 maize, Bt11	189	0		SKIPPED	EUginius
QL-CON-00-004	construct-specific	Bt176	211	0		SKIPPED	EUginius
QL-CON-00-005	construct-specific	40416, 4114, 43A47, 676, 678, 680, A2704-12, A2704-21, A5547-127, A5547-35, DAS1507, DAS59122, DAS59132, DBN9004, DP32316, DP62151, DP910521, Falcon GS 40/90, GU262, HCN10, HCR-1, Liberator, T120-7, T14, T25, T45, Topas 19/2	209	0		SKIPPED	EUginius
QL-CON-00-006	construct-specific	GTS 40-3-2	172	0		SKIPPED	EUginius
QL-CON-00-007	construct-specific	Huahui No.1	83	0		SKIPPED	EUginius
QL-CON-00-008	construct-specific	2904/1 kgs, ASR368, DBN9004, DBN9936, GT200, GT73, GTSB77, H7-1, J101, J163, KWS20-1, MON1445, MON1698, MON71200, MON71700, MON71800, MON80100, MON802, MON809, MON832, MON87411, MON87427, MON87429, MON87705, MON88017, MON88302, MON88913, MON89788, NK603, RBMT22-082, RBMT22-186, RBMT22-238, RBMT22-262, ZSR500, ZSR502, ZSR503	88	88	euginius_amplicon	OK_CLEAN	EUginius
QL-CON-00-010	construct-specific	FP967	105	0		SKIPPED	EUginius
QL-CON-00-011	construct-specific	40416, 4114, 43A47, 676, 678, 680, A2704-12, A2704-21, A5547-127, A5547-35, B0050-027, Bt10 maize, Bt11, DAS1507, DAS59122, DAS59132, DBN9004, DP32316, Falcon GS 40/90, GU262, HCN10, HCR-1, Liberator, MZHG0JG, MZIR098, SYHT0H2, T120-7, T14, T25, T45, Topas 19/2	102	0		SKIPPED	EUginius
QL-CON-00-012	construct-specific	55-1, 63-1	220	220	euginius_amplicon	OK_CLEAN	EUginius
