element_class	element_name	header_id	accession	coordinates	seq_length	status	timestamp
promoter	CaMV 35S promoter	P-35S-CaMV	V00141.1	6909-7439	531	OK_NCBI	2026-04-03T13:49:11.314215
promoter	CaMV 35S enhanced (double)	P-e35S-CaMV	V00141.1	6677-7439	763	OK_NCBI	2026-04-03T13:49:12.148765
promoter	FMV 35S promoter	P-FMV	NC_003554.1	6367-6930	564	OK_NCBI	2026-04-03T13:49:13.102463
promoter	NOS promoter	P-nos	V00087.1	1847-2113	267	OK_NCBI	2026-04-03T13:49:13.898673
promoter	OCS promoter	P-ocs	AJ311874.1	1-396	396	OK_NCBI	2026-04-03T13:49:14.706197
promoter	SSuAra promoter	P-SSuAra	X13611.1	1-1100	1100	OK_NCBI	2026-04-03T13:49:15.522885
promoter	TA29 promoter	P-TA29	X52283.1	1-792	792	OK_NCBI	2026-04-03T13:49:16.440406
promoter	Maize Ubi1 promoter	P-Ubi1-maize	S94464.1	FULL-FULL	3841	OK_NCBI	2026-04-03T13:49:17.241377
promoter	Rice actin Act1 promoter	P-Act1-rice	S44221.1	FULL-FULL	1266	OK_NCBI	2026-04-03T13:49:18.051619
promoter	CsVMV promoter	P-CsVMV	U59751.1	1-517	517	OK_NCBI	2026-04-03T13:49:18.863060
promoter	Maize MTL/PLD3 promoter	P-MTL-maize	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:18.863117
promoter	PcUbi promoter	P-PcUbi	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:18.863137
terminator	NOS terminator	T-nos	V00087.1	1277-1536	260	OK_NCBI	2026-04-03T13:49:19.656382
terminator	OCS terminator	T-ocs	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:19.656444
terminator	CaMV 35S terminator	T-35S-CaMV	V00141.1	7631-7850	220	OK_NCBI	2026-04-03T13:49:20.461705
terminator	E9 terminator	T-E9	X00806.1	923-1100	178	OK_NCBI	2026-04-03T13:49:21.263016
terminator	g7 terminator	T-g7	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:21.263085
terminator	pCambia 35S terminator	T-35S-pCAMBIA	AF234296.1	8409-8666	258	OK_NCBI	2026-04-03T13:49:22.121835
terminator	Pinll terminator	T-PinII	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:22.121909
cds	nptII	nptII	V00618.1	1-795	795	OK_NCBI	2026-04-03T13:49:22.932343
cds	bar	bar	X17220.1	260-811	356	OK_NCBI	2026-04-03T13:49:23.751461
cds	pat	pat	M22827.1	203-754	552	OK_NCBI	2026-04-03T13:49:24.555841
cds	hpt (hph)	hpt	U40398.1	113-1138	1026	OK_NCBI	2026-04-03T13:49:25.366950
cds	aadA	aadA	X02340.1	301-1092	792	OK_NCBI	2026-04-03T13:49:26.165766
cds	cp4-epsps	cp4-epsps	L29358.1	22-1377	531	OK_NCBI	2026-04-03T13:49:26.976848
cds	GOX (glyphosate oxidase)	gox	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:26.976926
cds	2mEPSPS	2mepsps	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:26.976944
cds	cry1Ab	cry1Ab	M13898.1	156-3614	3459	OK_NCBI	2026-04-03T13:49:28.174788
cds	cry1Ac	cry1Ac	M11068.1	1-3534	3534	OK_NCBI	2026-04-03T13:49:28.995001
cds	cry1F	cry1F	M73254.1	1-3537	3525	OK_NCBI	2026-04-03T13:49:29.810273
cds	cry2Ab2	cry2Ab2	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:29.810344
cds	cry3Bb1	cry3Bb1	M89794.1	1-1953	1953	OK_NCBI	2026-04-03T13:49:30.601023
cds	cry34Ab1	cry34Ab1	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:30.601075
cds	cry35Ab1	cry35Ab1	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:30.601094
cds	vip3Aa	vip3Aa	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:30.601134
cds	gus (uidA)	gus	S69414.1	1-1812	1812	OK_NCBI	2026-04-03T13:49:31.418272
cds	barnase	barnase	M14442.1	206-541	336	OK_NCBI	2026-04-03T13:49:32.354200
cds	barstar	barstar	X15545.1	1-273	273	OK_NCBI	2026-04-03T13:49:33.291023
regulatory	hsp70 intron	hsp70-intron	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:33.291065
regulatory	CTP2 transit peptide	CTP2	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:33.291081
regulatory	CTP4 transit peptide	CTP4	MANUAL	MANUAL-MANUAL	0	MISSING_MANUAL	2026-04-03T13:49:33.291095
regulatory	T-DNA LB (left border)	LB-TDNA	AF485783.1	1-25	25	OK_NCBI	2026-04-03T13:49:34.091610
regulatory	T-DNA RB (right border)	RB-TDNA	AF485783.1	11601-11625	25	OK_NCBI	2026-04-03T13:49:35.372153
